Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-01-04,261.098,263.461,253.162,261.002,735578.51995249
2021-01-05,260.243,260.243,248.916,250.899,960663.52337321
2021-01-07,252.123,252.22,234.188,234.188,1613189.6513497
2021-01-08,236.258,239.29,221.151,226.534,1611035.2402893
2021-01-11,226.631,242.68,226.631,232.294,842896.60057498
2021-01-12,232.294,238.813,229.467,234.654,695064.6810012
2021-01-13,234.654,239.377,233.333,235.976,693454.79141763
2021-01-14,239.29,261.663,237.298,250.238,1360959.8920412
2021-01-15,250.238,252.317,237.112,241.931,805484.16655676
2021-01-18,242.68,243.816,235.413,239.377,508562.4725044
2021-01-19,241.076,242.68,229.273,234.373,796830.49537448
2021-01-20,233.237,241.456,225.688,238.619,785288.4928805
2021-01-21,240.795,245.992,237.589,239.095,954674.81646961
2021-01-22,237.958,242.68,235.976,236.17,550596.6483578
2021-01-25,237.958,261.196,236.354,260.341,1701910.6251267
2021-01-26,257.884,283.288,257.884,283.288,2837920.3574399
2021-01-27,290.846,325.782,290.846,298.21,6215551.0510664
2021-01-28,293.867,355.528,282.442,344.667,7262076.0384575
2021-01-29,334.282,338.061,281.112,288.194,3121031.3810685
2021-02-01,288.486,298.395,275.069,288.768,1068159.6800175
2021-02-02,288.486,288.865,266.666,267.521,1460553.7965543
2021-02-03,268.181,279.13,267.617,271.961,730743.70449594
2021-02-04,272.047,282.151,272.047,274.788,427132.32220595
2021-02-05,276.867,281.306,272.144,277.061,459989.92156478
2021-02-08,280.451,281.209,270.347,270.347,513198.62511592
2021-02-09,271.008,272.144,253.454,254.96,1192223.0827278
2021-02-10,253.92,260.157,249.674,254.483,693903.58416599
2021-02-11,253.541,256.28,253.075,255.435,371541.72319677
2021-02-12,254.114,254.678,245.798,248.353,388608.1997285
2021-02-15,245.516,255.522,243.914,254.96,286906.20450751
2021-02-16,255.901,257.981,251.841,255.056,346010.97425731
2021-02-17,256.94,257.32,253.162,256.183,311611.42183187
2021-02-18,256.183,267.705,254.201,259.68,528381.40731392
2021-02-19,259.68,263.363,249.957,250.617,454444.86070372
2021-02-22,251.56,253.259,243.632,243.718,494931.93678467
2021-02-23,244.574,246.555,236.17,243.34,588998.27923652
2021-02-24,243.816,247.692,241.738,243.816,361177.28699664
2021-02-25,240.795,241.738,235.227,237.589,812944.83132769
2021-02-26,235.695,235.976,221.151,223.424,1565486.8936953
2021-03-01,224.172,227.573,212.651,226.913,1153348.984254
2021-03-02,227.486,232.206,222.851,227.854,713909.85906771
2021-03-03,228.331,231.634,214.351,215.585,885997.17387634
2021-03-04,215.585,224.269,213.409,221.909,563268.86745203
2021-03-05,220.49,224.55,216.051,219.071,485493.90763393
2021-03-08,221.811,224.269,219.071,219.071,431594.51616042
2021-03-09,218.606,220.685,210.581,210.581,1081043.9433918
2021-03-10,210.581,214.069,198.486,198.486,1338552.1641993
2021-03-11,198.777,211.144,195.096,208.686,1270549.769411
2021-03-12,210.581,222.006,208.025,213.884,896734.23157853
2021-03-15,218.13,221.529,212.942,217.09,554778.86151513
2021-03-16,220.024,222.948,213.884,216.712,443331.06413477
2021-03-17,217.187,219.071,210.669,218.13,567221.53752933
2021-03-18,218.13,218.791,208.404,208.404,671792.30657986
2021-03-19,208.404,214.351,205.763,210.765,1017752.8431201
2021-03-22,208.686,208.686,204.722,204.908,568070.74399126
2021-03-23,205.86,208.686,199.623,208.404,623998.96690288
2021-03-24,207.181,210.008,203.12,205.004,509104.93529886
2021-03-25,207.647,209.542,196.504,196.504,784142.83616278
2021-03-26,198.301,204.821,197.826,200.186,462897.81035863
2021-03-29,205.86,229.934,203.965,226.349,2208033.5590677
2021-03-30,236.073,237.589,204.722,205.763,1750494.4988191
2021-03-31,188.674,192.357,171.391,179.892,3737080.7461467
2021-04-01,180.174,186.761,174.754,183.739,1117908.7679098
2021-04-06,187.897,189.802,183.215,186.1,778327.05857507
2021-04-07,187.178,187.76,180.358,181.077,553211.17491936
2021-04-08,181.097,181.097,171.955,172.81,1245670.5934295
2021-04-09,173.295,181.301,171.488,174.111,1124019.9664121
2021-04-12,175.354,177.619,173.168,176.113,414368.49174797
2021-04-13,176.774,179.892,175.617,176.113,383201.07058367
2021-04-14,177.998,179.698,173.937,175.413,579742.44347215
2021-04-15,175.636,178.28,174.714,176.977,344206.53919337
2021-04-16,179.417,181.776,165.251,166.912,1803943.0388619
2021-04-19,168.972,174.79,167.234,167.613,725525.97412565
2021-04-20,168.554,171.109,162.628,163.366,605029.23855529
2021-04-21,163.366,169.934,157.985,162.987,778628.6555367
2021-04-22,165.912,166.854,162.705,163.833,320089.07567477
2021-04-23,167.117,169.031,158.169,161.608,750425.73693039
2021-04-26,163.814,164.212,155.906,159.568,730446.22489897
2021-04-27,156.75,163.688,156.75,158.926,650751.54380634
2021-04-28,160.53,164.97,159.208,162.89,705578.37167038
2021-04-29,165.251,167.136,161.093,165.475,555461.31470817
2021-04-30,165.971,169.73,164.309,164.415,508466.74377597
2021-05-04,165.455,166.009,158.354,159.51,626713.33955753
2021-05-05,158.644,159.034,147.59,152.506,817735.3851141
2021-05-06,151.562,152.291,146.006,147.804,819406.00582646
2021-05-07,148.25,152.467,147.444,152.467,476448.05746741
2021-05-10,153.924,156.187,147.88,147.93,496047.74260858
2021-05-11,148.222,148.328,142.663,145.666,816791.4792649
2021-05-12,146.608,161.268,143.325,152.03,1020491.9199627
2021-05-13,153.167,154.973,147.065,149.124,639836.41008244
2021-05-14,150.592,157.47,146.463,155.692,651143.72279058
2021-05-17,157.693,168.088,156.285,162.152,982120.13997778
2021-05-18,164.776,166.816,157.927,160.53,991057.90932186
2021-05-19,159.588,160.811,156.75,159.646,613028.24875601
2021-05-20,159.791,166.496,159.772,165.728,721856.37286898
2021-05-21,165.728,166.534,161.91,163.366,698341.07393248
2021-05-24,162.415,162.415,158.733,158.85,490324.60572581
2021-05-25,159.791,163.988,153.069,155.712,679804.69821576
2021-05-26,155.809,158.81,152.602,152.602,415522.38319502
