Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-12-01,4.05,4.05,3.9,4,3060
2021-12-02,4,4,3.9,3.9,2763
2021-12-03,4.04,4.04,3.89,4,4270
2021-12-06,4.04,4.04,4.04,4.04,10
2021-12-07,3.99,3.99,3.9,3.9,495
2021-12-08,3.99,3.99,3.88,3.88,2757
2021-12-09,3.88,3.9,3.88,3.9,1520
2021-12-10,3.89,3.9,3.84,3.84,2623
2021-12-13,3.89,3.89,3.78,3.85,16501
2021-12-14,3.85,3.85,3.78,3.78,6137
2021-12-15,3.81,3.81,3.65,3.76,5451
2021-12-16,3.75,3.75,3.7,3.75,1394
2021-12-17,3.75,3.75,3.65,3.65,6739
2021-12-20,3.7,3.7,3.5,3.5,16478
2021-12-21,3.63,3.63,3.5,3.52,9981
2021-12-22,3.51,3.57,3.47,3.47,11001
2021-12-23,3.57,3.57,3.43,3.44,3422
2021-12-27,3.5,3.5,3.15,3.23,40468
2021-12-28,3.23,3.4,3.21,3.32,30640
2021-12-29,3.36,3.66,3.36,3.57,15518
2021-12-30,3.64,3.64,3.42,3.6,12627
2022-01-03,3.6,3.96,3.58,3.84,20847
2022-01-04,4,4.08,3.9,3.94,11466
2022-01-05,4.06,4.06,3.9,4.02,7095
2022-01-07,4.02,4.02,3.85,3.96,6503
2022-01-10,3.99,4.06,3.96,3.96,10124
2022-01-11,3.99,3.99,3.87,3.87,5143
2022-01-12,3.99,3.99,3.6,3.77,10460
2022-01-13,3.8,3.8,3.8,3.8,18
2022-01-14,3.8,3.8,3.8,3.8,68
2022-01-17,3.8,3.8,3.8,3.8,10
2022-01-18,3.8,3.81,3.69,3.69,3533
2022-01-19,3.69,3.97,3.69,3.97,32
2022-01-20,3.97,3.97,3.71,3.82,133
2022-01-21,3.71,3.97,3.7,3.7,2287
2022-01-24,3.8,3.8,3.34,3.4,20390
2022-01-25,3.7,3.7,3.33,3.44,1761
2022-01-26,3.68,3.68,3.33,3.68,2812
2022-01-27,3.68,3.68,3.43,3.6,6527
2022-01-28,3.6,3.7,3.41,3.6,7095
2022-01-31,3.7,3.7,3.49,3.6,2184
2022-02-01,3.7,3.7,3.53,3.61,896
2022-02-02,3.6,3.7,3.5,3.59,2581
2022-02-03,3.69,3.69,3.5,3.5,360
2022-02-04,3.69,3.69,3.61,3.61,375
2022-02-07,3.69,3.69,3.5,3.65,1075
2022-02-08,3.6,3.7,3.56,3.7,471
2022-02-09,3.69,3.69,3.69,3.69,1
2022-02-10,3.69,3.7,3.51,3.7,217
2022-02-11,3.7,3.7,3.7,3.7,5
2022-02-14,3.51,3.69,3.33,3.46,10508
2022-02-15,3.6,3.6,3.41,3.41,650
2022-02-16,3.67,3.67,3.46,3.46,4244
2022-02-17,3.5,3.5,3.42,3.5,251
2022-02-18,3.5,3.51,3.39,3.39,1067
2022-02-21,3.66,3.66,3.3,3.32,11635
2022-02-22,3.45,3.45,3.33,3.33,1200
2022-02-23,3.45,3.45,3.32,3.32,1042
2022-02-24,3.05,3.32,2.6,3.07,17181
2022-02-25,3.07,3.36,3.04,3.15,10537
2022-02-28,3.4,3.4,3.02,3.1,6280
2022-03-01,3.02,3.17,2.9,2.9,16146
2022-03-02,3.32,3.32,2.93,3,8495
2022-03-03,3.03,3.06,3,3.06,3172
2022-03-04,3.21,3.21,3.06,3.2,568
2022-03-07,3.2,3.2,2.88,2.9,15441
2022-03-08,3.19,3.19,2.87,2.9,12910
2022-03-09,3.19,3.19,2.89,2.89,14183
2022-03-10,2.99,2.99,2.88,2.88,6675
2022-03-11,2.98,2.98,2.87,2.93,3700
2022-03-14,3.18,3.18,2.88,3,15883
2022-03-15,2.97,3.09,2.92,3.08,22639
2022-03-16,3.15,3.15,2.96,2.96,19624
2022-03-17,3.06,3.21,3.05,3.16,43684
2022-03-18,3.21,3.23,3.2,3.23,2675
2022-03-21,3.12,3.18,3.07,3.18,3329
2022-03-22,3.16,3.18,3.16,3.18,172
2022-03-23,3.18,3.18,3.18,3.18,6
2022-03-24,3.15,3.18,3.15,3.18,2057
2022-03-25,3.18,3.18,3.18,3.18,2
2022-03-28,3.18,3.18,3.18,3.18,2
2022-03-29,3.18,3.18,3.1,3.1,1406
2022-03-30,3.07,3.09,3.07,3.07,18400
2022-03-31,3.01,3.14,3.01,3.08,18226
2022-04-01,3.02,3.17,3.02,3.17,3348
2022-04-04,3.16,3.18,3.16,3.18,524
2022-04-05,3.09,3.09,3.08,3.09,797
2022-04-06,3.14,3.14,3.04,3.1,1165
2022-04-07,3.14,3.14,3.03,3.1,210
2022-04-08,3.05,3.05,3.03,3.05,410
2022-04-11,3.05,3.05,3.02,3.02,90
2022-04-12,3.08,3.1,3.08,3.1,5010
2022-04-13,3.02,3.09,2.97,3.01,5916
2022-04-14,3.1,3.1,2.98,2.98,620
2022-04-19,2.98,3,2.87,2.98,3827
2022-04-20,2.98,3,2.98,3,7904
2022-04-21,3,3,2.89,2.96,2511
2022-04-22,3,3,3,3,1
2022-04-25,3,3,3,3,10
2022-04-26,2.98,2.98,2.98,2.98,510
2022-04-27,2.98,2.98,2.98,2.98,28
2022-04-28,2.82,2.82,2.54,2.69,46240
2022-04-29,2.67,2.68,2.53,2.53,21979
2022-05-02,2.5,2.6,2.5,2.54,7995
2022-05-04,2.5,2.5,2.31,2.32,9804
2022-05-05,2.31,2.4,2.27,2.27,8869
2022-05-06,2.25,2.28,1.91,1.99,37797
2022-05-09,1.96,1.97,1.96,1.97,4708
2022-05-10,2,2,1.97,1.99,2516
2022-05-11,2,2,1.82,1.96,12451
2022-05-12,1.99,1.99,1.84,1.99,3011
2022-05-13,1.99,1.99,1.89,1.94,2126
2022-05-16,1.95,1.96,1.87,1.95,7868
2022-05-17,1.97,1.99,1.95,1.95,15504
2022-05-18,2,2,1.97,1.97,1010
2022-05-19,2,2,1.9,1.93,710
2022-05-20,2,2,1.925,1.95,47478
2022-05-23,2,2,1.9,1.965,1428
2022-05-24,1.99,1.99,1.97,1.985,3828
2022-05-25,1.99,1.99,1.99,1.99,1490
2022-05-26,1.98,1.99,1.87,1.99,7275
2022-05-27,1.99,2,1.98,1.98,4460
2022-05-30,1.86,1.86,1.75,1.79,16971
2022-05-31,1.785,1.79,1.72,1.72,3672
2022-06-01,1.72,1.78,1.6,1.6,21065
2022-06-02,1.615,1.62,1.46,1.52,10781
2022-06-03,1.52,1.535,1.47,1.47,3892
2022-06-06,1.54,1.54,1.52,1.52,14519
2022-06-07,1.625,1.625,1.535,1.535,210
2022-06-08,1.625,1.625,1.46,1.46,5510
2022-06-09,1.6,1.6,1.535,1.54,7262
2022-06-10,1.6,1.6,1.465,1.465,97
2022-06-13,1.595,1.595,1.565,1.565,20
2022-06-14,1.58,1.58,1.435,1.465,14375
2022-06-15,1.515,1.515,1.5,1.5,1502
2022-06-17,1.515,1.585,1.515,1.585,548
2022-06-20,1.585,1.585,1.585,1.585,10
2022-06-21,1.585,1.585,1.52,1.585,4979
2022-06-22,1.595,1.595,1.5,1.5,4010
2022-06-23,1.595,1.595,1.595,1.595,10
2022-06-24,1.59,1.59,1.46,1.46,1018
2022-06-27,1.5,1.535,1.5,1.535,627
2022-06-28,1.535,1.62,1.535,1.59,8559
2022-06-29,1.625,1.66,1.6,1.6,1152
2022-06-30,1.775,1.775,1.55,1.645,3423
2022-07-01,1.75,1.75,1.75,1.75,1
2022-07-04,1.75,1.75,1.75,1.75,10
2022-07-05,1.575,1.585,1.575,1.585,779
2022-07-06,1.64,1.64,1.64,1.64,10
2022-07-07,1.64,1.64,1.64,1.64,760
2022-07-08,1.725,1.73,1.55,1.55,761
2022-07-11,1.685,1.685,1.545,1.645,4103
2022-07-12,1.655,1.655,1.655,1.655,10
2022-07-13,1.655,1.655,1.655,1.655,2
2022-07-14,1.655,1.655,1.655,1.655,5
2022-07-15,1.675,1.675,1.675,1.675,10
2022-07-18,1.675,1.675,1.56,1.66,288
2022-07-19,1.675,1.675,1.56,1.56,1812
2022-07-20,1.56,1.56,1.56,1.56,1332
2022-07-21,1.675,1.675,1.62,1.62,284
2022-07-22,1.67,1.67,1.67,1.67,10
2022-07-25,1.68,1.68,1.68,1.68,299
2022-07-26,1.675,1.675,1.675,1.675,12
2022-07-27,1.66,1.66,1.53,1.66,146
2022-07-28,1.66,1.66,1.62,1.62,1343
2022-07-29,1.66,1.66,1.535,1.62,1641
2022-08-01,1.62,1.63,1.58,1.58,2310
2022-08-02,1.58,1.58,1.58,1.58,133
2022-08-03,1.6,1.6,1.6,1.6,586
2022-08-04,1.635,1.635,1.53,1.53,70
2022-08-05,1.635,1.635,1.61,1.61,1246
2022-08-08,1.635,1.635,1.61,1.63,2166
2022-08-09,1.635,1.635,1.635,1.635,1
2022-08-10,1.625,1.635,1.62,1.635,2682
2022-08-11,1.635,1.635,1.555,1.63,302
2022-08-12,1.63,1.63,1.55,1.55,796
2022-08-16,1.63,1.63,1.625,1.625,1950
2022-08-17,1.63,1.63,1.63,1.63,10
2022-08-18,1.63,1.63,1.63,1.63,10
2022-08-19,1.6,1.6,1.6,1.6,10
2022-08-22,1.6,1.6,1.55,1.55,700
2022-08-23,1.6,1.6,1.6,1.6,10
2022-08-24,1.6,1.6,1.49,1.495,13674
2022-08-25,1.495,1.495,1.435,1.495,1522
2022-08-26,1.495,1.495,1.495,1.495,10
2022-08-29,1.495,1.495,1.435,1.435,30
2022-08-30,1.495,1.495,1.435,1.495,4921
2022-08-31,1.495,1.495,1.495,1.495,7154
2022-09-01,1.495,1.495,1.43,1.495,1960
2022-09-02,1.495,1.495,1.495,1.495,10
2022-09-05,1.495,1.495,1.495,1.495,10
2022-09-06,1.495,1.495,1.495,1.495,10
2022-09-07,1.495,1.495,1.495,1.495,10
2022-09-08,1.495,1.495,1.39,1.41,15310
2022-09-09,1.49,1.49,1.41,1.41,3302
2022-09-12,1.445,1.445,1.445,1.445,25
2022-09-13,1.445,1.445,1.445,1.445,18
2022-09-14,1.445,1.445,1.445,1.445,34
2022-09-15,1.445,1.445,1.445,1.445,2
2022-09-16,1.44,1.44,1.44,1.44,27
2022-09-19,1.44,1.44,1.44,1.44,2
2022-09-20,1.44,1.44,1.35,1.35,5582
2022-09-21,1.435,1.435,1.265,1.265,946
2022-09-22,1.335,1.335,1.3,1.3,2527
2022-09-23,1.29,1.3,1.26,1.3,5251
2022-09-26,1.3,1.3,1.15,1.2,10683
2022-09-27,1.3,1.3,1.13,1.2,1833
2022-09-28,1.29,1.29,1.115,1.15,4899
2022-09-29,1.115,1.15,1.09,1.15,5298
2022-09-30,1.15,1.15,1.12,1.12,1700
2022-10-03,1.165,1.165,1.165,1.165,10
2022-10-04,1.165,1.165,1.16,1.16,386
2022-10-05,1.165,1.165,1.08,1.08,2307
2022-10-06,1.08,1.14,1.08,1.14,622
2022-10-07,1.145,1.145,1.145,1.145,595
2022-10-10,1.13,1.13,1.09,1.09,614
2022-10-11,1.075,1.09,1.02,1.065,12436
2022-10-12,1.07,1.07,1.01,1.01,1125
2022-10-13,1.07,1.07,1.01,1.065,246
2022-10-14,1.02,1.05,0.918,1.05,29818
2022-10-17,0.858,0.858,0.55,0.58,30268
2022-10-18,0.55,0.666,0.55,0.6,52300
2022-10-19,0.6,0.6,0.576,0.6,17131
2022-10-20,0.55,0.6,0.55,0.594,13170
