Data,Otwarcie,Najwyzszy,Najnizszy,Zamkniecie,Wolumen
2021-01-04,49.402,51.1203,48.5428,50.6907,9004.0800066925
2021-01-05,51.3351,51.9795,50.6907,51.1203,4308.8278897716
2021-01-07,51.1203,52.1943,50.6907,51.5499,3668.6778897736
2021-01-08,52.4091,53.483,51.5499,53.483,6096.6071908413
2021-01-11,53.6978,58.638,53.6978,56.0605,12137.35668679
2021-01-12,58.4232,59.0676,56.9197,58.638,8038.0263776633
2021-01-13,59.9268,59.9268,57.9937,59.712,2893.497983862
2021-01-14,59.9268,61.4303,54.557,57.9937,11997.691633027
2021-01-15,57.9937,57.9937,54.9865,55.8458,7139.4877015908
2021-01-18,57.1344,61.8599,57.1344,61.0007,10824.457997278
2021-01-19,61.0007,62.2895,59.0676,60.7859,3845.5906585902
2021-01-20,60.7859,61.4303,57.3492,58.8528,4471.7797042872
2021-01-21,61.0007,61.0007,57.7789,57.9937,3286.9026881619
2021-01-22,59.9268,59.9268,55.8458,57.3492,5675.2667002512
2021-01-25,56.2753,57.3492,56.0605,57.1344,2476.8203964977
2021-01-26,57.1344,57.7789,56.0605,56.0605,1873.9042338652
2021-01-27,56.0605,56.2753,53.6978,54.9865,9662.8677419055
2021-01-28,53.2682,56.2753,52.6239,55.8458,5780.0293682617
2021-01-29,56.2753,56.2753,53.9126,54.557,2479.1379704224
2021-02-01,54.557,55.4161,53.2682,53.2682,2411.6368951538
2021-02-02,54.1274,56.2753,53.6978,54.9865,4476.4287298248
2021-02-03,54.9865,56.2753,54.3422,54.9865,2656.0646169273
2021-02-04,54.9865,55.4161,53.9126,54.1274,3186.8029233772
2021-02-05,54.1274,55.4161,53.9126,54.9865,3233.3625671943
2021-02-08,55.2013,55.4161,54.1274,54.9865,3924.7351142351
2021-02-09,54.9865,58.4232,53.9126,54.1274,25326.7809139
2021-02-10,55.2013,55.2013,52.4091,53.2682,11322.6114919
2021-02-11,53.2682,53.6978,52.4091,53.6978,8894.6683131445
2021-02-12,53.6978,53.6978,52.6239,52.8386,4318.139818535
2021-02-15,52.8386,53.6978,48.9724,52.4091,11932.508131683
2021-02-16,52.4091,52.6239,51.1203,51.7647,5766.0545362725
2021-02-17,51.7647,51.7647,49.6168,50.2612,9630.2690523895
2021-02-18,49.6168,52.4091,48.328,49.8316,12083.816565823
2021-02-19,49.6168,50.0464,48.5428,49.402,4953.6407929954
2021-02-22,48.9724,49.6168,48.1133,49.402,4527.6512768677
2021-02-23,49.402,49.8316,47.6837,48.9724,9134.4470093803
2021-02-24,49.402,50.4759,48.9724,49.8316,6173.4340725615
2021-02-25,49.8316,50.2612,48.7576,49.402,5945.298756702
2021-02-26,48.5428,49.8316,47.4689,48.5428,8207.9586693294
2021-03-01,47.6837,49.1872,47.6837,48.7576,4972.2646505222
2021-03-02,48.5428,48.9724,48.5428,48.9724,2160.2286962299
2021-03-03,49.1872,49.1872,48.5428,48.5428,3363.729569882
2021-03-04,48.1133,48.9724,47.2541,47.2541,5011.8299395006
2021-03-05,46.1801,48.7576,45.5358,48.328,6699.5233534739
2021-03-08,48.328,48.328,46.6097,47.6837,6527.2596101948
2021-03-09,48.7576,48.7576,48.1133,48.5428,1613.1841061778
2021-03-10,47.8985,48.1133,46.6097,47.0393,5498.3539314346
2021-03-11,47.6837,47.6837,46.8245,47.4689,4581.1913978353
2021-03-12,47.2541,48.1133,45.7506,48.1133,4879.1453628881
2021-03-15,47.8985,48.1133,45.1061,47.0393,18652.861895103
2021-03-16,47.2541,47.2541,46.3949,46.8245,6366.6392472921
2021-03-17,47.0393,47.0393,45.3209,46.1801,4481.0916330506
2021-03-18,45.5358,48.7576,45.3209,47.6837,16739.406249948
2021-03-19,48.1133,51.5499,48.1133,49.8316,21288.096102085
2021-03-22,50.9055,51.3351,48.5428,49.402,7695.8303427181
2021-03-23,49.8316,49.8316,47.2541,48.5428,5770.7174394982
2021-03-24,48.5428,48.5428,46.3949,48.1133,7525.8980510519
2021-03-25,47.6837,48.328,45.9654,46.8245,15405.621639737
2021-03-26,47.0393,53.2682,46.8245,52.4091,52630.160954138
2021-03-29,53.2682,53.9126,51.5499,52.4091,12055.880779533
2021-03-30,53.483,53.483,51.5499,51.5499,4141.2270497183
2021-03-31,52.4091,52.8386,50.9055,52.4091,5607.7656249826
2021-04-01,51.9795,53.2682,50.6907,51.5499,10165.670262065
2021-04-06,51.5499,53.0105,51.5499,52.9246,8431.4310819631
2021-04-07,53.0105,53.0105,51.464,52.4091,6026.7746639598
2021-04-08,51.9795,52.1513,51.1203,52.0654,8883.0388104563
2021-04-09,51.9795,52.4091,51.5499,52.4091,4322.7888440726
2021-04-12,52.495,52.495,51.5499,51.6358,2814.3535282171
2021-04-13,51.6358,51.6358,48.5428,50.433,7656.2650537397
2021-04-14,50.433,50.433,48.5428,49.8316,5442.4823588541
2021-04-15,50.0034,50.1752,47.8555,49.0583,6473.7194892272
2021-04-16,48.5428,49.402,48.2851,48.8006,2707.2732862819
2021-04-19,48.8006,49.6597,48.6288,49.402,10335.602553731
2021-04-20,49.5738,49.5738,48.371,48.4569,4013.1914986435
2021-04-21,48.8006,49.3161,48.1133,49.3161,3135.5942540225
2021-04-22,48.5428,48.9724,48.371,48.371,1161.5916431416
2021-04-23,48.8865,48.8865,44.0751,46.223,21690.826612836
2021-04-26,45.5358,47.1682,45.5358,46.1372,6138.5178091208
2021-04-27,45.9654,45.9654,44.247,45.8794,9187.9871303479
2021-04-28,45.9654,46.8245,44.247,46.7385,4855.8724798237
2021-04-29,47.2541,47.2541,45.8794,46.4808,2241.7046034877
2021-04-30,46.9104,46.9104,45.6216,46.3949,4420.5571572444
2021-05-04,45.9654,46.8245,45.1921,45.5358,5780.0293682617
2021-05-05,45.7935,46.7385,41.6695,44.5906,32112.554099363
2021-05-06,44.0751,44.0751,41.3258,41.3688,24160.638776807
2021-05-07,41.2399,42.4857,37.6314,42.3139,33013.354838607
2021-05-10,42.3139,45.0203,42.0132,44.247,12691.381753993
2021-05-11,44.247,44.247,42.5287,43.216,1636.4708669304
2021-05-12,43.3878,43.5596,41.9272,42.142,2274.2894153155
2021-05-13,42.0991,42.185,41.0681,41.6695,4983.9080308985
2021-05-14,42.0132,42.185,41.0251,42.185,4571.8794690719
2021-05-17,42.9582,42.9582,42.185,42.185,1340.8358635711
2021-05-18,47.2541,47.9414,45.278,46.5668,42971.845093953
2021-05-19,46.8245,47.2541,45.7076,47.2541,9157.7198924447
2021-05-20,46.3949,49.402,46.223,49.3161,13950.684811785
2021-05-21,49.4879,50.9485,48.9724,50.1752,14790.978830599
2021-05-24,50.2612,50.2612,47.34,48.9724,13231.445866894
2021-05-25,49.4879,50.433,48.9724,49.7457,27158.913306367
2021-05-26,50.0893,50.2612,48.1133,48.5428,7279.1527553538
2021-05-27,48.1133,48.7147,47.2541,47.6837,8068.2936155664
2021-05-28,48.7147,48.7147,46.3949,47.6837,3845.5906585902
2021-05-31,48.5428,49.3161,47.7696,48.2851,7968.1938507818
2021-06-01,48.2851,48.5428,47.2541,47.6837,6657.6127351944
2021-06-02,47.5978,47.6837,46.5668,47.34,7572.457694869
2021-06-04,47.4259,47.6837,46.6527,47.5118,5582.1612903053
2021-06-07,47.6837,48.2851,47.0823,47.6837,3922.4036626223
2021-06-08,47.6837,47.8555,46.1372,46.223,4020.171975794
2021-06-09,46.309,46.3949,45.1061,45.6216,5042.0971774037
2021-06-10,45.7076,45.7076,44.7625,45.5358,3042.4749663884
2021-06-11,45.5358,45.5358,45.1061,45.4499,1964.6920698864
2021-06-14,45.4499,45.4499,44.8484,45.1921,2167.2091733804
2021-06-15,45.4499,45.4499,44.6766,45.1061,5181.7622311667
2021-06-16,45.1061,45.1061,44.0751,44.0751,1741.2196572527
2021-06-17,43.9033,44.247,42.7864,43.9892,8822.5182123382
2021-06-18,43.9892,44.7625,43.4737,44.4189,977.69284609912
2021-06-21,44.6766,44.7625,43.4737,44.7625,7069.6412970211
2021-06-22,44.7625,46.0513,44.5047,45.5358,5954.6106854654
2021-06-23,45.9654,45.9654,43.3878,44.6766,7819.2168682553
2021-06-24,44.6766,45.278,44.1611,44.9344,6287.4947916472
2021-06-25,44.0751,45.3639,43.9892,45.3639,4069.0630712239
2021-06-28,45.3639,47.2541,44.9344,45.9654,4846.5605510602
2021-06-29,46.0513,46.4808,45.5358,45.9654,2658.382190852
2021-06-30,46.309,46.309,44.9344,45.8794,1678.3676075217
2021-07-01,45.7935,45.7935,44.9344,45.5358,2164.8915994557
2021-07-02,45.5358,45.5358,44.3329,45.4499,756.54772177185
2021-07-05,45.5358,45.7935,44.6766,45.4499,1280.3124899154
2021-07-06,45.3639,45.3639,44.6766,45.1921,3875.8440188052
2021-07-07,44.4189,45.1061,44.4189,44.8484,1520.0786962318
2021-07-08,44.8484,44.8484,43.8174,44.1611,2358.0967741862
2021-07-09,43.9892,44.247,43.9892,44.247,5898.7391128849
2021-07-12,44.247,44.4189,43.4737,44.247,2707.2732862819
2021-07-13,44.247,44.5906,43.9033,44.5906,1147.6251377653
2021-07-14,44.5906,44.5906,43.8174,44.1611,905.53025537354
2021-07-15,44.1611,44.247,43.0442,44.247,6853.1632392261
2021-07-16,44.247,44.247,43.216,43.8174,700.67892472901
2021-07-19,44.247,44.247,42.6146,43.302,7693.5127687934
2021-07-20,42.9582,43.8174,42.3568,42.9582,3189.1343749901
2021-07-21,42.8723,43.6456,42.3568,43.5596,5582.1612903053
2021-07-22,43.5596,43.5596,42.9582,43.302,728.61332325043
2021-07-23,43.302,43.302,42.5287,42.9582,661.10669690655
2021-07-26,42.9582,42.9582,42.5287,42.9582,714.64681787413
2021-07-27,42.8294,42.9153,42.3568,42.4857,4415.9081317067
2021-07-28,42.4857,42.7005,42.3139,42.6575,3142.5747311731
2021-07-29,42.7005,43.6456,42.7005,43.6456,2653.7331653144
2021-07-30,43.6456,44.247,42.9153,43.6456,3428.8991935378
2021-08-02,42.9582,44.0751,42.9582,42.9582,1538.7025537587
2021-08-03,43.3878,43.3878,42.6146,42.6146,567.9929603477
2021-08-04,42.9153,42.9153,42.6575,42.8723,765.85965053526
2021-08-05,42.9153,42.9153,42.6146,42.8294,1075.4625470397
2021-08-06,42.8294,42.9582,42.6575,42.9153,605.23789986372
2021-08-09,42.9153,42.9153,42.185,42.3139,1538.7025537587
2021-08-10,42.8294,42.8294,42.185,42.7434,833.36627687914
2021-08-11,42.8294,42.9153,41.6695,42.5287,3289.2341397748
2021-08-12,42.5287,42.7864,41.7984,41.9702,1634.1394153175
2021-08-13,42.7005,42.7005,41.9702,42.3139,914.84079636813
2021-08-16,42.7005,42.8723,42.0991,42.8723,1736.5567540269
2021-08-17,42.9153,43.302,42.3139,42.8294,6478.382392453
2021-08-18,43.3878,43.3878,41.8413,42.4427,2269.6403897779
2021-08-19,42.5287,42.5287,40.8103,41.9702,6787.9797378822
2021-08-20,41.9702,41.9702,41.2399,41.9272,709.99085349242
2021-08-23,41.9272,41.9272,41.2399,41.8413,1014.9377856151
2021-08-24,42.0132,42.0132,41.0251,41.3688,2071.7723118215
2021-08-25,41.3258,41.8413,40.8533,41.8413,2546.6529233792
2021-08-26,42.0561,42.0561,41.3258,41.7554,1340.8358635711
2021-08-27,42.0132,42.0132,41.2399,42.0132,2842.2893145073
2021-08-30,45.278,47.0823,44.1611,45.3639,17398.180107473
2021-08-31,45.9654,46.3949,43.8174,44.5906,7551.5162634175
2021-09-01,44.6766,44.6766,43.4737,43.9033,2432.5922042935
2021-09-02,43.9033,43.9033,42.4857,42.9582,8834.1477150264
2021-09-03,42.9582,43.3878,42.2709,43.3878,3247.3373991835
2021-09-06,43.302,43.3878,42.0132,42.9582,5319.109711005
2021-09-07,42.9582,42.9582,42.3998,42.5287,1226.7723689478
2021-09-08,42.7005,42.7005,42.142,42.2709,3417.2696908496
2021-09-09,42.7864,42.8723,42.0991,42.5287,3033.1769153132
2021-09-10,42.8723,42.8723,41.4547,42.0132,4029.4839045574
2021-09-13,41.7984,42.0132,40.9822,41.7554,9150.7394152942
2021-09-14,41.4117,43.3878,41.4117,42.9153,11364.508232492
2021-09-15,42.9582,43.3878,42.185,43.1301,5970.9030913793
2021-09-16,43.1301,43.216,42.0561,42.185,3705.9117271391
2021-09-17,42.0991,42.142,41.5836,41.6695,3652.3716061715
2021-09-20,41.6695,41.6695,40.8103,41.2399,8440.7430107265
2021-09-21,40.9822,41.4117,40.8962,41.154,1664.3927755325
2021-09-22,41.0251,42.4427,41.0251,42.0132,4285.5550067071
2021-09-23,42.0561,42.0561,40.8962,41.2399,6382.931653206
2021-09-24,41.0251,41.5406,40.8962,40.9822,5703.2024865415
2021-09-27,40.9822,42.3568,40.9822,42.142,6280.5143144967
2021-09-28,42.142,42.142,40.9822,41.5406,3833.9472782139
2021-09-29,41.4977,41.4977,41.154,41.2829,1620.1645833283
2021-09-30,41.4547,41.4547,40.0371,41.197,2802.7101478408
2021-10-01,41.197,41.197,40.2948,40.8103,2292.9132728424
2021-10-04,40.6815,40.6815,40.0371,40.0371,7493.3132392241
2021-10-05,39.9512,39.9512,38.4047,39.5216,26970.31552411
2021-10-06,39.5645,39.5645,38.2328,38.6624,9979.4455644852
2021-10-07,38.6624,39.9512,38.6195,39.092,13294.297916625
2021-10-08,39.8653,40.7674,39.3068,40.5955,9437.0638776589
2021-10-11,39.9941,40.2519,39.092,39.6075,4907.0811491783
2021-10-12,39.6075,39.6075,39.0491,39.4786,10349.577385721
2021-10-13,38.9202,39.3068,38.7054,39.0491,4087.6869287508
2021-10-14,39.3927,39.3927,38.4476,39.2209,6217.6622647657
2021-10-15,38.4047,39.2638,38.4047,39.2638,5500.6853830475
2021-10-18,39.1779,39.1779,38.1469,38.1469,5249.2771841235
2021-10-19,38.1899,39.092,37.2878,39.092,10819.795094052
2021-10-20,39.1779,39.1779,38.2758,39.092,2781.7687163892
2021-10-21,39.1779,39.5216,38.1899,38.1899,1373.4262264742
2021-10-22,38.1899,38.6624,37.8892,37.8892,1913.4834005317
2021-10-25,37.8892,37.8892,35.7413,36.9871,7870.42553761
2021-10-26,36.9441,38.5336,36.9441,38.3617,3002.90967741
2021-10-27,38.4476,38.4476,38.104,38.2758,4264.5996975674
2021-10-28,38.4476,38.8772,38.1469,38.6624,3265.9612567103
2021-10-29,38.6624,39.5216,38.6195,39.0061,1750.5315860161
2021-11-02,38.6624,38.6624,37.6314,37.8033,5509.9973118109
2021-11-03,36.9441,38.1469,36.7723,38.104,6278.1828628838
2021-11-04,38.3188,38.3188,36.8582,37.3737,7348.9852822353
2021-11-05,37.3737,37.3737,36.7723,37.03,4315.8083669221
2021-11-08,36.9441,37.5885,36.2997,36.6434,12263.060786252
2021-11-09,36.9441,37.2448,36.6004,36.9441,11734.640053727
2021-11-10,36.9441,36.9441,36.5145,36.6004,8545.505678737
2021-11-12,36.6004,37.073,35.2258,35.9561,6690.2114247104
2021-11-15,35.999,36.042,35.2258,35.2258,7833.1778225564
2021-11-16,35.0109,35.5265,34.8821,35.4406,13168.593817163
2021-11-17,35.4835,35.6124,34.6244,35.1828,9208.9285617994
2021-11-18,35.1828,35.1828,33.6363,34.1947,12568.009106144
2021-11-19,34.1947,34.1947,32.7342,33.8511,10333.284979807
2021-11-22,33.7652,33.8511,33.0778,33.4215,7032.4074596556
2021-11-23,33.0778,34.3666,32.6053,34.3666,20228.812163916
2021-11-24,34.6244,35.8271,34.3666,35.4406,5165.4698252528
2021-11-25,35.3976,35.3976,34.3237,34.7962,4252.9563171911
2021-11-26,35.2258,36.5145,33.7223,35.6554,13582.953830603
2021-11-29,35.9131,35.9131,34.1518,34.7962,4057.4196908476
2021-11-30,34.7962,35.054,34.0659,34.5385,2122.9809811762
2021-12-01,34.5385,35.3117,34.0659,34.4954,6643.6517808934
2021-12-02,35.1828,35.1828,34.1947,34.2377,2551.3019489168
2021-12-03,34.5385,34.5385,33.7223,34.2377,4273.9116263308
2021-12-06,34.1947,34.3237,33.1208,33.4215,6431.822748636
2021-12-07,33.4215,34.4095,33.0778,34.4095,5586.8103158429
2021-12-08,34.7532,35.2258,34.023,34.1518,4557.9046370826
2021-12-09,34.1518,34.3237,33.7223,33.937,2888.8489583244
2021-12-10,34.1947,34.1947,33.2926,33.2926,5123.5730846615
2021-12-13,33.2497,34.3666,32.863,34.2807,24779.861223041
2021-12-14,34.023,34.3237,33.2926,33.7223,6455.0956317004
2021-12-15,33.7223,33.937,33.0778,33.0778,3664.0149865478
2021-12-16,33.0778,33.7223,32.992,33.3356,5437.8333333165
2021-12-17,32.7342,33.2926,31.9609,33.1637,16327.377688121
2021-12-20,32.7771,32.7771,31.5313,32.2187,8729.3989247041
2021-12-21,32.1328,32.1328,31.1018,31.1018,12395.745362865
2021-12-22,31.5744,32.6483,31.4884,32.2187,29028.099126254
2021-12-23,32.2187,32.5194,31.5313,31.918,12728.629469047
2021-12-27,31.5313,31.5313,30.1996,31.2736,40485.796034821
2021-12-28,30.9299,31.5313,30.6722,30.9729,30850.794690765
2021-12-29,31.0158,33.5075,31.0158,33.3785,17228.317204248
2021-12-30,33.6792,33.6792,32.7342,33.4215,6094.2757392284
2022-01-03,33.937,35.6554,33.8511,35.6554,14595.442204256
2022-01-04,35.6554,35.8271,34.7962,35.1828,4872.1648857376
2022-01-05,35.1828,35.6554,35.1828,35.6554,4630.068615577
